code,binned,age,sex,population_2015,population_2016,population_2017,population_2018
E06000044,"(55, 65]",1210,30,19111,19617,20262,20862
E06000044,"(65, 90]",3900,75,27920,28302,28385,28547
E06000045,"(15, 18]",102,9,8101,7939,7873,7470
E06000045,"(18, 25]",308,21,44253,45913,46147,45241
E06000045,"(25, 35]",610,30,39279,40056,40478,41041
E06000045,"(35, 45]",810,30,29655,30167,30329,30419
E06000045,"(45, 55]",1010,30,27866,27965,28094,27787
E06000045,"(55, 65]",1210,30,21775,22116,22380,22968
E06000045,"(65, 90]",3900,75,30830,31163,31357,31503
E06000046,"(15, 18]",102,9,4909,4720,4647,4321
E06000046,"(18, 25]",308,21,9512,9548,9323,9250
E06000046,"(25, 35]",610,30,13363,13273,13383,13387
E06000046,"(35, 45]",810,30,14944,14633,14276,14085
E06000046,"(45, 55]",1010,30,20302,20328,20538,20428
E06000046,"(55, 65]",1210,30,19597,19841,20304,20757
E06000046,"(65, 90]",3900,75,35012,35865,36517,37253
E06000047,"(15, 18]",102,9,17799,17326,16734,16085
E06000047,"(18, 25]",308,21,51594,51615,50614,50352
E06000047,"(25, 35]",610,30,60027,60766,61921,63205
E06000047,"(35, 45]",810,30,60757,59880,58698,58392
E06000047,"(45, 55]",1010,30,76844,77027,77200,76523
E06000047,"(55, 65]",1210,30,66792,67006,67893,69393
E06000047,"(65, 90]",3900,75,96891,99043,100703,102197
E06000049,"(15, 18]",102,9,13170,12987,12668,12252
E06000049,"(18, 25]",308,21,25984,25403,24762,23874
E06000049,"(25, 35]",610,30,38978,38958,38979,39369
E06000049,"(35, 45]",810,30,47728,47064,46116,45275
E06000049,"(45, 55]",1010,30,58701,59069,59208,59222
E06000049,"(55, 65]",1210,30,47558,47871,48776,50262
E06000049,"(65, 90]",3900,75,77412,79182,80909,82150
E06000050,"(15, 18]",102,9,11669,11251,10982,10643
E06000050,"(18, 25]",308,21,27953,27789,27743,27177
E06000050,"(25, 35]",610,30,37512,37813,38132,38568
E06000050,"(35, 45]",810,30,41564,40980,40292,39912
E06000050,"(45, 55]",1010,30,50230,50493,50404,50393
E06000050,"(55, 65]",1210,30,41633,41947,42752,43842
E06000050,"(65, 90]",3900,75,64802,66233,67581,68919
E06000051,"(15, 18]",102,9,11364,11083,10919,10601
E06000051,"(18, 25]",308,21,22331,21974,21305,21019
E06000051,"(25, 35]",610,30,33044,33452,34098,34424
E06000051,"(35, 45]",810,30,36205,35846,35449,34970
E06000051,"(45, 55]",1010,30,47403,47682,48198,48245
E06000051,"(55, 65]",1210,30,41479,42145,43194,44604
E06000051,"(65, 90]",3900,75,68579,70181,71856,73555
E06000052,"(15, 18]",102,9,19266,18878,18448,17977
E06000052,"(18, 25]",308,21,41914,42276,42604,42320
