LOCAL_AUTHORITY_CODE,Total_Population,young_adults,white,christian,english_speaking,single_ethnicity_household,own_home,not_good_health,degree_educated,no_car,private_transport_to_work,professionals
E07000049,87166,0.2271527889314641,0.9665121721772251,0.668276621618521,0.9711470068604732,0.3003005759126265,0.34970057132368126,0.18904159878851845,0.2887404823684546,0.1032903844106059,0.802247191011236,0.31258426966292135
E07000050,68583,0.27277896854905737,0.9508916203723955,0.6653398072408614,0.9543327063558025,0.2820669845296939,0.29481066736654854,0.1699400726127466,0.28169721782823115,0.12023020579002441,0.7077949270160325,0.2581957406078009
E07000051,44973,0.2567762879950192,0.9668245391679452,0.6501456429413204,0.9666911257865831,0.2902408111533587,0.30636159473461855,0.1910924332377204,0.2691730576858953,0.14461522749323394,0.7106307484009524,0.26145011438442506
E07000052,99264,0.23286387814313347,0.9621917311411993,0.6527341231463571,0.9676922147001934,0.2862870728562218,0.31424282720825275,0.19698984526112184,0.3199536714157617,0.15682872977966025,0.6615697598109989,0.2947018418865118
E07000053,65167,0.2896404621971243,0.9538263231390121,0.6102168275354091,0.9565270765878435,0.28057145487746865,0.29496524314453637,0.20979943836604417,0.2352476392368472,0.24734536534080953,0.6663554206822957,0.23783639577150098
E07000061,99412,0.30530519454391825,0.8840079668450489,0.5958234418380075,0.9346255985192935,0.2513278075081479,0.2824910473584678,0.21527582183237437,0.2592397653311424,0.28683462187861014,0.6402618731580013,0.2659227429188508
E07000062,90254,0.3220577481330467,0.9010791765461919,0.5188911294790258,0.9390719524896404,0.24856516054690098,0.25371728676845345,0.2325769494980832,0.2236170822585268,0.33268543939357126,0.6313343660101792,0.23692557350446264
E07000063,97502,0.26852782507025497,0.9330577834300835,0.5699575393325265,0.9582162417181186,0.2707636766425304,0.3172550306660376,0.19639597136468995,0.30771029251311893,0.20122804106114128,0.6218922955284196,0.29640692260388296
E07000064,90588,0.22116615887313992,0.9479732414889389,0.6480549300128052,0.965911599770389,0.27383317878747737,0.33424956947940127,0.22849604804168322,0.2667453445129064,0.1903515424321746,0.6848309075911981,0.2930580315568209
E07000065,148915,0.25131786589665245,0.9446865661619045,0.64007655373871,0.9624752375516235,0.2798039149850586,0.3348084477722191,0.17485814054997817,0.30125408942202836,0.12446550513753271,0.7106099825558494,0.3113077485791458
E07000066,174497,0.330807979506811,0.9027547751537276,0.6026350023209568,0.9484346435755342,0.268732413737772,0.27904204656813586,0.18798030911706218,0.19478549490489386,0.21942099909273363,0.6385201069802183,0.239380285762475
E07000067,147084,0.3183011068505072,0.9386541024176661,0.6126703108427837,0.946581545239455,0.27832395093959916,0.28714204128253246,0.16798564085828507,0.23224411681315565,0.16162377340563208,0.7089487870619946,0.2556199460916442
E07000068,73601,0.3000230975122621,0.9050012907433322,0.6861591554462575,0.9573918832624557,0.26282251599842393,0.3155120174997622,0.15646526541758943,0.31899877181753705,0.14863277426091495,0.5707704615045103,0.34605941905050897
E07000069,88011,0.2791014759518696,0.959766392837259,0.6405108452352547,0.9669473134040063,0.28670279851382213,0.34318437468043766,0.20389496767449522,0.15292098677154092,0.16775521405049396,0.691865936346307,0.21513886542962624
E07000070,168310,0.3308181332065831,0.9116511199572218,0.61942843562474,0.9507575307468362,0.27095835066246804,0.30555522547679875,0.15093577327550353,0.29975990031304134,0.15676001550231816,0.6300794669812958,0.3125816936761865
E07000071,173074,0.35506777447796894,0.8817500028889377,0.5770884130487537,0.9335659891144829,0.2614950830280689,0.27636733420386655,0.16336942579474675,0.2864023740111394,0.2057821704777061,0.6360895930456728,0.28697115216095903
E07000072,124659,0.31148172213799247,0.8636359990052864,0.6181102046382532,0.9474807274244138,0.25662005952237704,0.30299456918473594,0.16981525601841824,0.26528511277885874,0.15319959223711796,0.5975263354380042,0.31096106088396175
E07000073,81944,0.3481279898467246,0.8492385043444304,0.5536097822903446,0.9218368641999414,0.2601654788636142,0.24107927365029777,0.19031289661232062,0.18676307732395284,0.2491623339110341,0.6986955768421573,0.21281651444271182
E07000074,61629,0.27248535592010253,0.9633289522789595,0.649791494264064,0.9654545749565951,0.28798130750133866,0.33016923850784535,0.18168394749225203,0.24644462229883643,0.1257698415772553,0.7229301465733527,0.28489370130727587
E07000075,83287,0.2874398165379951,0.961686697803979,0.6337963907932811,0.9645803066504977,0.2863472090482308,0.3349982590320218,0.1732323171683456,0.20831172792435565,0.14521511142891194,0.6766514190152968,0.26334169494860066
E07000076,138048,0.24300967779323135,0.9609990727862773,0.6390241075567918,0.9625854775150672,0.28317686601761705,0.33314499304589706,0.257606050069541,0.16680612653254265,0.23350776910071652,0.7119054997539056,0.21566983247352206
E07000077,79443,0.2889744848507735,0.9308183225708999,0.6439585614843347,0.9530732726609015,0.27136437445715794,0.2863184925040595,0.14115781126090404,0.3326434402667586,0.1005875590752331,0.6910134405964878,0.3390071617776906
E07000078,115732,0.36759064044516643,0.8916980610375695,0.5871755434970449,0.9361542183665711,0.2538450903812256,0.28720664984619637,0.15770919019804375,0.3796871418123069,0.2203459718431542,0.6112397141070915,0.31769258063971073
E07000079,82881,0.2640170847359467,0.9506038778489642,0.6868039719597978,0.9628503517090768,0.28192227410383564,0.29251577563012027,0.161448341598195,0.3508928032816553,0.12620046362733192,0.6857135977268897,0.32892677406149917
E07000080,81961,0.27010407388880076,0.9700223276924391,0.6577762594404656,0.9633972255096936,0.2905528239040519,0.3118190358829199,0.19936311172386867,0.2494332802352653,0.1436181110428191,0.7798965905600491,0.24879696938671036
E07000081,121688,0.3511849976990336,0.8526888436000263,0.6235701137334824,0.9241995924002366,0.2575685359279469,0.28281342449543095,0.17982874235750443,0.23420412136946292,0.22580068701229078,0.7146674487568025,0.22255352429367484
E07000082,112779,0.28022060844660795,0.9542290674682343,0.6199824435400207,0.9601078214915898,0.2821624593231009,0.3127621277010791,0.17103361441403098,0.3409681227863046,0.13874126459388209,0.7587108925394999,0.31432457884273307
E07000083,81943,0.29399704672760335,0.9456573471803571,0.6657310569542243,0.9544805535555203,0.2865894585260486,0.31941715582783153,0.16748227426381754,0.314578400878944,0.13593919034333543,0.7420084729443481,0.2879838243789717
E07000084,167799,0.3424215877329424,0.8903628746297654,0.5988235925124703,0.9346301229447136,0.2728323768318047,0.28542482374745975,0.14212242027664052,0.31959917892790546,0.15227584216980453,0.7137990723685671,0.3143627527129891
E07000085,115608,0.2746176735174036,0.936128987613314,0.6465296519272022,0.956793647498443,0.2773250986090928,0.3057746868728808,0.148475884021867,0.3523189945123031,0.11181175673959964,0.7259353028721967,0.33677746035547496
E07000086,125199,0.32275018171071657,0.9223316480163579,0.6188947196063866,0.9485938386089345,0.28073706658998876,0.3108171790509509,0.15533670396728408,0.29080045581939695,0.13277881058704027,0.7728682642014354,0.28962413331711473
E07000087,111581,0.28866921787759564,0.9512192936073346,0.6377250607182227,0.9637393463044783,0.28854374848764575,0.3382027406099605,0.16245597368727652,0.30873775475734716,0.13433092165997554,0.7690140845070422,0.3058021082469661
E07000088,82622,0.3232795139309143,0.9478589237733291,0.5884147079470359,0.9505942727118685,0.27840042603664883,0.28437946309699597,0.18469656992084432,0.22433830814474656,0.22853513971210837,0.6705189326810274,0.21563537428550034
E07000089,91033,0.312315314226709,0.9136906396581459,0.6461063570353608,0.9504465413641207,0.26872672547318005,0.3092614766073841,0.1190117869344084,0.38995348837209304,0.08042804843705999,0.7302224904780735,0.3751743084896039
E07000090,120684,0.28374100957873455,0.9566388253621027,0.5922491796758477,0.9595223890490868,0.28283782440091476,0.2955487057107819,0.19832786450565112,0.23201677661390605,0.20703163064450117,0.7585275852758527,0.24536045360453604
