PCON18CD,FID,Total_Population,young_adults,white,christian,english_speaking,single_ethnicity_household,own_home,not_good_health,degree_educated,no_car,private_transport_to_work,professionals
E14001040,130.0,199693.0,0.43062100323997343,0.5061519432328624,0.56082586770693,0.8413965436945714,0.19989183396513652,0.23716404681185616,0.14374064188529395,0.4594087348204169,0.325609152202344,0.3043158878861308,0.36414111541470306
E14001041,7208.2307692307695,117918.69230769231,0.30483172511891726,0.9242456742114781,0.6302810581434178,0.9533015977233601,0.2644552488120414,0.28057111433257875,0.14256051750347584,0.40126568616278,0.14148718153833562,0.6735426464702936,0.38081654057785685
E14001042,1599.0555555555557,137350.27777777778,0.3425198176273304,0.78057657406492,0.6072818338509323,0.9206326330644292,0.23905147409302602,0.27359358180400034,0.13439199122033238,0.3819380593492757,0.13972362244099756,0.6899027360903358,0.3623589315687111
E14001043,574.2,319783.0,0.29707645497102725,0.9579902621465181,0.7040618169195986,0.9571303039873914,0.2747957208482002,0.2988151340127524,0.21786649071401545,0.2620671803755252,0.2801974634201859,0.6996047995769283,0.26993689656897424
E14001044,590.8,319783.0,0.29707645497102725,0.9579902621465181,0.7040618169195986,0.9571303039873914,0.2747957208482002,0.2988151340127524,0.21786649071401545,0.2620671803755252,0.2801974634201859,0.6996047995769283,0.26993689656897424
E14001045,5632.0625,130593.375,0.31374091929805503,0.9341532962213532,0.6152790008617233,0.9488593858953079,0.27758287734662224,0.29587858301161074,0.17054467719236335,0.24594891640919783,0.16093998989955174,0.698783028061774,0.2688167360335488
E14001046,3936.962962962963,104779.0,0.3107492913656361,0.9324673837314732,0.6541100793097852,0.9498754521421271,0.2747210796056461,0.2928926597886983,0.14656562860878616,0.34331132306187334,0.11942369510418349,0.7068742811642926,0.31496062992125995
E14001047,6417.833333333333,105528.83333333333,0.3570157200474546,0.7741850637033059,0.5905173338954627,0.9097281321140572,0.2401370311514974,0.28285953913135287,0.13539232963635797,0.41043642494907157,0.14946369275981058,0.622230733978401,0.36621472898618523
E14001048,1517.75,154275.375,0.31870331993026524,0.8577977833634337,0.6030243448146055,0.9418992000494077,0.26263914436072483,0.3105309358117416,0.125001631619116,0.4018771607328223,0.09635562092992402,0.7160887288538605,0.3861218919031275
E14001049,985.0,249470.0,0.350078165711308,0.6512646811239827,0.5547520743977232,0.8857016875776649,0.23802461217781695,0.23341884795767023,0.22864071832284447,0.20960888693120472,0.3363770711608288,0.6808906447777224,0.2187583905488857
E14001050,1014.5714285714286,258535.0,0.34515219759698984,0.6852404168248138,0.5687783504881112,0.8939422743977651,0.24373303077846598,0.24116529884291024,0.22711027548228424,0.20832526619817723,0.3212095964141997,0.6925999547909952,0.2210700388606721
E14001051,1019.8571428571429,249470.0,0.350078165711308,0.6512646811239827,0.5547520743977232,0.8857016875776649,0.23802461217781695,0.23341884795767023,0.22864071832284447,0.20960888693120472,0.3363770711608288,0.6808906447777224,0.2187583905488857
E14001052,4194.0,98768.0,0.3637514174631458,0.8970415519196497,0.6369573141098333,0.9308277984772393,0.2670601814352827,0.27856188239105784,0.17637291430422808,0.29129180327868853,0.2242757242757243,0.6828406618630366,0.27855731422526503
E14001053,1823.08,96422.0,0.2797909190848562,0.9782622223144096,0.7541432453174584,0.9636390035469088,0.29300367136130756,0.30508597622949113,0.20988985916077238,0.23683425235160546,0.2079348211122918,0.7173365743554128,0.23215990971438494
E14001054,626.7777777777778,233933.0,0.3818486489721416,0.8563434829630705,0.641683729956868,0.915911820905986,0.2508282285953671,0.22499604587638342,0.21612598479051698,0.23542930634383646,0.36867009154467156,0.635579585422435,0.2393923520167627
E14001055,4643.307692307692,118448.61538461539,0.29967368338135664,0.9084289112069203,0.6032583357091948,0.9409831655194107,0.2617296570413139,0.3197834909108028,0.20160917443063314,0.26320458607401365,0.22804573546850765,0.6664248676471879,0.26865340043994584
E14001056,1738.1176470588234,171644.0,0.33446552166111243,0.7682528955279531,0.5720095080515487,0.9181911398009834,0.24422642212952392,0.2794504905502086,0.1423877327491785,0.35469263166029125,0.13686800960787493,0.7121134916039372,0.33755645628257097
E14001057,4740.526315789473,119705.36842105263,0.3030435354170335,0.8962242521500138,0.6956773065810707,0.9405866284299229,0.2746487413789397,0.3091977701847342,0.21727016926197443,0.24785547885368694,0.24390803621214613,0.7230930522229848,0.2547817645806066
E14001058,6708.5,97975.0,0.2949323807093646,0.9520898188313344,0.6865016585863742,0.9573360551161012,0.28899208981883134,0.31251849961724926,0.2119316152079613,0.23135330578512395,0.18411073630336164,0.7744880122574936,0.24994065474006785
E14001059,4920.125,399421.125,0.4156991787434684,0.6951802906062343,0.5423844936025479,0.8861605116068267,0.21917428567904268,0.20723267599745127,0.18735171848084156,0.326879045681886,0.3595406450472711,0.571263424919743,0.29995508202014076
E14001060,3915.2083333333335,161243.0,0.27873458072598495,0.9530522255229682,0.659476690460981,0.950676928610854,0.2882481720136687,0.3063512834665689,0.18642669759307387,0.26280697591647867,0.14650148918720599,0.7239466301049879,0.24999047872948163
E14001061,6350.666666666667,198051.0,0.3671932986957905,0.907422835532262,0.5950790452964136,0.9432418922398775,0.26247279741076796,0.28203846483986444,0.16127159166073388,0.3378526680170322,0.26101110685561085,0.5411006776673657,0.30630767516536495
E14001062,6353.0,198051.0,0.3671932986957905,0.907422835532262,0.5950790452964136,0.9432418922398775,0.26247279741076796,0.28203846483986444,0.16127159166073388,0.3378526680170321,0.26101110685561085,0.5411006776673657,0.30630767516536495
N06000001,7981.636363636364,288636.9090909091,0.36487026853037857,0.968982930679855,0.7722594782553489,0.9401166144789528,0.27416867452942784,0.24509821166561807,0.22460121164996166,0.2748851800884781,0.3298350191882917,0.569008733390562,0.27971523466246623
N06000002,7845.448275862069,239586.3103448276,0.3597424060184948,0.9726537656801144,0.7780860389628949,0.9392784170145048,0.2763769254941374,0.2570899647598297,0.21445724783824424,0.25744219161275717,0.29181978027076394,0.61145778488459,0.2601676119662734
N06000003,7987.166666666667,275820.5833333333,0.36183183074136244,0.9695789243836725,0.7734959714167825,0.940667099610233,0.27498248595534025,0.24933388679459492,0.22077543908567454,0.2775244543889307,0.3150621343521707,0.5807477096471013,0.2816735825579552
N06000004,7882.695652173913,316564.04347826086,0.37149110995299184,0.9676842436321501,0.7695651248703325,0.9389170918910991,0.27239535653741415,0.2358685563973617,0.2329376776979735,0.2691341271371083,0.36202555085165505,0.5434291738750336,0.2754479395040094
N06000005,8090.5,136353.06666666668,0.32725426837293514,0.9875478082811125,0.8056796726226888,0.9471911542453142,0.28615409939719,0.28707873754763097,0.19659927814447595,0.2338362236438964,0.19490228806845258,0.7150530329331917,0.23402113041315958
N06000006,7837.357142857143,141365.7857142857,0.3331414803651908,0.9893583504209355,0.8558922237585207,0.9500167490966775,0.2766882164733295,0.25716182556785167,0.2018393226436082,0.22126355039402462,0.20031042611188224,0.7013314784382135,0.23322304608327307
N06000007,8224.416666666666,126444.66666666667,0.3437551875097913,0.9883528653546461,0.8931044451165696,0.9290956687403722,0.2644021453879138,0.257672143834939,0.19890022178083594,0.2294887883600253,0.16209483903554844,0.7143551200483915,0.2319186465700952
N06000008,8154.714285714285,147720.0,0.3487340915245057,0.9852829677768752,0.8793799079339296,0.9494178174925532,0.26829136203628495,0.2252504738694829,0.2283712428919579,0.21018250813155046,0.2913159220087777,0.6628785154283249,0.2383478385959865
N06000009,8146.939393939394,155876.15151515152,0.3340856740257432,0.977103639745367,0.7962634339465304,0.9432254416886351,0.2817536163325807,0.2870991242515837,0.18506849003501535,0.29313787491805027,0.1707208431109673,0.7004429262166859,0.2919316206537755
N06000010,8180.9375,138590.0,0.36225557399523806,0.984811313947616,0.8936214734107795,0.9122736128147766,0.2617360559924959,0.24714625874882754,0.19568511436611583,0.2198636612429716,0.15339529431466128,0.7156931853576166,0.23025852035212524
N06000011,7926.931034482759,185127.4827586207,0.3446310531903007,0.9875529843707409,0.8580719791467623,0.9308168665269049,0.27171275738576667,0.2608525050260413,0.19429570686227146,0.23769284464362964,0.1786249886821195,0.7150877203584597,0.24539019677486135
N06000012,8024.090909090909,137520.0303030303,0.32628002726653726,0.9897067364261899,0.8248378508502993,0.9492764527299411,0.2838818369047906,0.27795902054637567,0.19891927510799168,0.22740249045109798,0.19430936037797375,0.7136741212841663,0.23153314188773835
N06000013,8110.076923076923,163487.34615384616,0.3148039533034731,0.984567448367636,0.7403531203157101,0.9553239973087952,0.29078499850000233,0.30523294823157165,0.19576769405283034,0.27799949085976217,0.17891415278363956,0.7097890014103491,0.2627473263567403
N06000014,7845.5625,138334.125,0.34186154170460953,0.9786714542740138,0.7888853970002834,0.9408532910959759,0.281952475886111,0.2865787044548095,0.18846966006142932,0.25234764612845817,0.19255875968862973,0.7018641513134338,0.25016588286106706
N06000015,8017.727272727273,173834.45454545456,0.3415479402530715,0.9886526218555737,0.8589808932797989,0.9354052311061013,0.26892975539060426,0.25849760856990134,0.19085207844234056,0.24339330422355152,0.17561674011951792,0.7089730060586964,0.25204483082078727
N06000016,8112.111111111111,156998.37037037036,0.3194601996763495,0.9850537938574194,0.7673599200397554,0.9513708621811389,0.2862278820654247,0.2972130149714974,0.1916405467871521,0.2749893963999778,0.1696449540624711,0.7143738395046074,0.2650097607822535
N06000017,7791.76,199693.0,0.34849493973248946,0.9853975852934258,0.8535101380619249,0.9246944059130763,0.2764142959442744,0.2659482305338694,0.1987250429409144,0.23230497390174062,0.18193256165072977,0.7239690893344881,0.23808096284946598
N06000018,8196.933333333332,126984.6,0.33943354523556557,0.9884451566055409,0.8896051104592982,0.9429699972438373,0.26617516218268855,0.247696888056997,0.21175040240682522,0.22476270775012297,0.2155483383544843,0.6928021675926497,0.23469751107291234
S14000001,8335.0,222793.0,0.40859901343399485,0.8386708738604893,0.4086663405044143,0.8397346415731193,0.23252525887258577,0.2657579008317138,0.1432495634961601,0.33159374377156997,0.3137630476632712,0.5324587818390538,0.2746768263263846
S14000002,8340.5,222793.0,0.40859901343399485,0.8386708738604893,0.4086663405044143,0.8397346415731193,0.23252525887258574,0.26575790083171374,0.1432495634961601,0.33159374377156997,0.3137630476632711,0.5324587818390537,0.2746768263263846
S14000003,8432.0,337727.0,0.3382613767924981,0.9642166602018791,0.6836172411444748,0.8662766080295621,0.27002282908976777,0.26314745341651685,0.20844942808836725,0.17156260880719823,0.31928519568761216,0.660855352764914,0.2014089057540876
S14000004,8580.714285714286,115978.0,0.2864595009398334,0.9633723637241546,0.5261515114935591,0.8593353911948817,0.2566262567038576,0.28884788494369623,0.15903878321750678,0.23633514417049728,0.23450092994420335,0.6541176470588236,0.2294208846329229
S14000005,8116.363636363636,88166.0,0.26607762629585097,0.9628768459496857,0.5902161831091349,0.8880407413288569,0.22706031803643126,0.30258829934441855,0.17671211124469746,0.2885760399289308,0.23389408099688475,0.5657853810264387,0.2481158033257566
S14000006,8638.142857142857,115647.0,0.2891585922111199,0.9755175591265843,0.5746862445100559,0.8721641101170226,0.2614877009856881,0.30199423626753247,0.1940324247231036,0.23082026901394387,0.26717370089604864,0.6598660839156298,0.24178405433221897
S14000007,8377.0,252973.0,0.3099144968040068,0.9497298130630542,0.48671202065042507,0.8294798259102751,0.250414075810462,0.30062496788194787,0.1307451783391904,0.2695637792824344,0.14306587466814372,0.6798814375694703,0.2525527973323453
